split,policy,n,accuracy,balanced_accuracy,sensitivity,specificity,tn,fp,fn,tp,trigger_n,trigger_rate
development,main_only,591,0.8747884940778342,0.8632347923571846,0.8161434977578476,0.9103260869565217,335.0,33.0,41.0,182.0,0.0,0.0
development,robust_all,591,0.8240270727580372,0.8039213296938974,0.7219730941704036,0.8858695652173914,326.0,42.0,62.0,161.0,0.0,0.0
development,auto_switch_on_safety_trigger,591,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,313.0,55.0,36.0,187.0,27.0,0.04568527918781726
development,human_review_on_safety_trigger_oracle,591,0.883248730964467,0.8744455546890232,0.8385650224215246,0.9103260869565217,335.0,33.0,36.0,187.0,27.0,0.04568527918781726
development,oracle_choose_main_or_robust,591,0.9052453468697124,0.892108598167284,0.8385650224215246,0.9456521739130435,348.0,20.0,36.0,187.0,0.0,0.0
development,correctness_overlap_main0_robust0,56,,,,,,,,,,
development,correctness_overlap_main0_robust1,18,,,,,,,,,,
development,correctness_overlap_main1_robust0,48,,,,,,,,,,
development,correctness_overlap_main1_robust1,469,,,,,,,,,,
development:old,main_only,285,0.9228070175438596,0.9227245862884161,0.9148936170212766,0.9305555555555556,134.0,10.0,12.0,129.0,0.0,0.0
development:old,robust_all,285,0.8421052631578947,0.8416814420803782,0.8014184397163121,0.8819444444444444,127.0,17.0,28.0,113.0,0.0,0.0
development:old,auto_switch_on_safety_trigger,285,0.8842105263157894,0.8846040189125295,0.9219858156028369,0.8472222222222222,122.0,22.0,11.0,130.0,13.0,0.0456140350877193
development:old,human_review_on_safety_trigger_oracle,285,0.9263157894736842,0.9262706855791962,0.9219858156028369,0.9305555555555556,134.0,10.0,11.0,130.0,13.0,0.0456140350877193
development:old,oracle_choose_main_or_robust,285,0.9438596491228071,0.9436317966903074,0.9219858156028369,0.9652777777777778,139.0,5.0,11.0,130.0,0.0,0.0
development:old,correctness_overlap_main0_robust0,16,,,,,,,,,,
development:old,correctness_overlap_main0_robust1,6,,,,,,,,,,
development:old,correctness_overlap_main1_robust0,29,,,,,,,,,,
development:old,correctness_overlap_main1_robust1,234,,,,,,,,,,
development:third,main_only,306,0.8300653594771242,0.7718314459930313,0.6463414634146342,0.8973214285714286,201.0,23.0,29.0,53.0,0.0,0.0
development:third,robust_all,306,0.8071895424836601,0.7368793554006968,0.5853658536585366,0.8883928571428571,199.0,25.0,34.0,48.0,0.0,0.0
development:third,auto_switch_on_safety_trigger,306,0.8104575163398693,0.7739002613240418,0.6951219512195121,0.8526785714285714,191.0,33.0,25.0,57.0,14.0,0.0457516339869281
development:third,human_review_on_safety_trigger_oracle,306,0.8431372549019608,0.7962216898954704,0.6951219512195121,0.8973214285714286,201.0,23.0,25.0,57.0,14.0,0.0457516339869281
development:third,oracle_choose_main_or_robust,306,0.869281045751634,0.8140788327526132,0.6951219512195121,0.9330357142857143,209.0,15.0,25.0,57.0,0.0,0.0
development:third,correctness_overlap_main0_robust0,40,,,,,,,,,,
development:third,correctness_overlap_main0_robust1,12,,,,,,,,,,
development:third,correctness_overlap_main1_robust0,19,,,,,,,,,,
development:third,correctness_overlap_main1_robust1,235,,,,,,,,,,
external_strict,main_only,108,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,48.0,13.0,25.0,22.0,0.0,0.0
external_strict,robust_all,108,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,44.0,17.0,15.0,32.0,0.0,0.0
external_strict,auto_switch_on_safety_trigger,108,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,44.0,17.0,15.0,32.0,14.0,0.12962962962962962
external_strict,human_review_on_safety_trigger_oracle,108,0.7407407407407407,0.7338681548657133,0.6808510638297872,0.7868852459016393,48.0,13.0,15.0,32.0,14.0,0.12962962962962962
external_strict,oracle_choose_main_or_robust,108,0.7407407407407407,0.7338681548657133,0.6808510638297872,0.7868852459016393,48.0,13.0,15.0,32.0,0.0,0.0
external_strict,correctness_overlap_main0_robust0,28,,,,,,,,,,
external_strict,correctness_overlap_main0_robust1,10,,,,,,,,,,
external_strict,correctness_overlap_main1_robust0,4,,,,,,,,,,
external_strict,correctness_overlap_main1_robust1,66,,,,,,,,,,
