rule,split,n,acc,bacc,sens,spec,tn,fp,fn,tp,review_n,review_rate,pass_acc,pass_bacc,pass_fn,pass_fp,pass_n,review_main_acc,review_robust_acc,review_main_fn,review_robust_fn,rescued,harmed
disagree_any,dev,591,0.8240270727580372,0.8039213296938974,0.7219730941704036,0.8858695652173914,326,42,62,161,66,0.1116751269035533,0.8933333333333333,0.87621996996997,36,20,525,0.7272727272727273,0.2727272727272727,5.0,26.0,18.0,48.0
disagree_any,old,285,0.8421052631578947,0.8416814420803782,0.8014184397163121,0.8819444444444444,127,17,28,113,35,0.12280701754385964,0.936,0.9355995134754497,11,5,250,0.8285714285714286,0.17142857142857143,1.0,17.0,6.0,29.0
disagree_any,third,306,0.8071895424836601,0.7368793554006968,0.5853658536585366,0.8883928571428571,199,25,34,48,31,0.10130718954248366,0.8545454545454545,0.7824328127198537,25,15,275,0.6129032258064516,0.3870967741935484,4.0,9.0,12.0,19.0
disagree_any,external,108,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,44,17,15,32,14,0.12962962962962962,0.7021276595744681,0.683262209577999,15,13,94,0.2857142857142857,0.7142857142857143,10.0,0.0,10.0,4.0
low_main_high_robust,dev,591,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,313,55,36,187,27,0.04568527918781726,0.8776595744680851,0.8697433313888742,36,33,564,0.8148148148148148,0.18518518518518517,5.0,0.0,5.0,22.0
low_main_high_robust,old,285,0.8842105263157894,0.8846040189125295,0.9219858156028369,0.8472222222222222,122,22,11,130,13,0.0456140350877193,0.9227941176470589,0.9228354978354978,11,10,272,0.9230769230769231,0.07692307692307693,1.0,0.0,1.0,12.0
low_main_high_robust,third,306,0.8104575163398693,0.7739002613240418,0.6951219512195121,0.8526785714285714,191,33,25,57,14,0.0457516339869281,0.8356164383561644,0.7860052719865804,25,23,292,0.7142857142857143,0.2857142857142857,4.0,0.0,4.0,10.0
low_main_high_robust,external,108,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,44,17,15,32,14,0.12962962962962962,0.7021276595744681,0.683262209577999,15,13,94,0.2857142857142857,0.7142857142857143,10.0,0.0,10.0,4.0
high_main_low_robust,dev,591,0.8527918781725888,0.822601871709885,0.6995515695067265,0.9456521739130435,348,20,67,156,39,0.06598984771573604,0.8894927536231884,0.8677700722099092,41,20,552,0.6666666666666666,0.3333333333333333,0.0,26.0,13.0,26.0
high_main_low_robust,old,285,0.8807017543859649,0.8798020094562649,0.7943262411347518,0.9652777777777778,139,5,29,112,22,0.07719298245614035,0.935361216730038,0.933627291715015,12,5,263,0.7727272727272727,0.22727272727272727,0.0,17.0,5.0,17.0
high_main_low_robust,third,306,0.826797385620915,0.7348105400696865,0.5365853658536586,0.9330357142857143,209,15,38,44,17,0.05555555555555555,0.8477508650519031,0.7666476407914764,29,15,289,0.5294117647058824,0.47058823529411764,0.0,9.0,8.0,9.0
high_main_low_robust,external,108,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,48,13,25,22,0,0.0,0.6481481481481481,0.627485176142309,25,13,108,,,,,,
diff_ge_0.05,dev,591,0.8240270727580372,0.8039213296938974,0.7219730941704036,0.8858695652173914,326,42,62,161,426,0.7208121827411168,0.896969696969697,0.8526086956521739,13,4,165,0.8661971830985915,0.795774647887324,28.0,49.0,18.0,48.0
diff_ge_0.05,old,285,0.8421052631578947,0.8416814420803782,0.8014184397163121,0.8819444444444444,127,17,28,113,228,0.8,0.8947368421052632,0.868421052631579,4,2,57,0.9298245614035088,0.8289473684210527,8.0,24.0,6.0,29.0
diff_ge_0.05,third,306,0.8071895424836601,0.7368793554006968,0.5853658536585366,0.8883928571428571,199,25,34,48,198,0.6470588235294118,0.8981481481481481,0.8418516966904064,9,2,108,0.7929292929292929,0.7575757575757576,20.0,25.0,12.0,19.0
diff_ge_0.05,external,108,0.7037037037037037,0.6986396930589467,0.6595744680851063,0.7377049180327869,45,16,16,31,66,0.6111111111111112,0.6904761904761905,0.6835294117647059,6,7,42,0.6212121212121212,0.7121212121212122,19.0,10.0,9.0,3.0
diff_ge_0.08,dev,591,0.8240270727580372,0.8039213296938974,0.7219730941704036,0.8858695652173914,326,42,62,161,315,0.5329949238578681,0.8985507246376812,0.8601190476190477,20,8,276,0.8539682539682539,0.7587301587301587,21.0,42.0,15.0,45.0
diff_ge_0.08,old,285,0.8421052631578947,0.8416814420803782,0.8014184397163121,0.8819444444444444,127,17,28,113,174,0.6105263157894737,0.918918918918919,0.9021739130434783,7,2,111,0.9252873563218391,0.7931034482758621,5.0,21.0,6.0,29.0
diff_ge_0.08,third,306,0.8071895424836601,0.7368793554006968,0.5853658536585366,0.8883928571428571,199,25,34,48,141,0.46078431372549017,0.8848484848484849,0.8208478513356562,13,6,165,0.7659574468085106,0.7163120567375887,16.0,21.0,9.0,16.0
diff_ge_0.08,external,108,0.6944444444444444,0.6880013951866062,0.6382978723404256,0.7377049180327869,45,16,17,30,52,0.48148148148148145,0.6964285714285714,0.6935897435897436,9,8,56,0.5961538461538461,0.6923076923076923,16.0,8.0,8.0,3.0
diff_ge_0.10,dev,591,0.8274111675126904,0.8084056346266328,0.7309417040358744,0.8858695652173914,326,42,60,163,255,0.43147208121827413,0.8988095238095238,0.8588135593220338,24,10,336,0.8431372549019608,0.7333333333333333,17.0,36.0,15.0,43.0
diff_ge_0.10,old,285,0.8421052631578947,0.8416814420803782,0.8014184397163121,0.8819444444444444,127,17,28,113,152,0.5333333333333333,0.924812030075188,0.9079518072289157,8,2,133,0.9210526315789473,0.7697368421052632,4.0,20.0,6.0,29.0
diff_ge_0.10,third,306,0.8137254901960784,0.7490744773519163,0.6097560975609756,0.8883928571428571,199,25,32,50,103,0.3366013071895425,0.8817733990147784,0.8138562091503267,16,8,203,0.7281553398058253,0.6796116504854369,13.0,16.0,9.0,14.0
diff_ge_0.10,external,108,0.6944444444444444,0.6880013951866062,0.6382978723404256,0.7377049180327869,45,16,17,30,43,0.39814814814814814,0.6923076923076923,0.6880952380952381,11,9,65,0.5813953488372093,0.6976744186046512,14.0,6.0,8.0,3.0
diff_ge_0.12,dev,591,0.8307952622673435,0.8111230259309807,0.7309417040358744,0.8913043478260869,328,40,60,163,205,0.34686971235194586,0.8911917098445595,0.8500988142292489,27,15,386,0.8439024390243902,0.7170731707317073,14.0,33.0,15.0,41.0
diff_ge_0.12,old,285,0.8421052631578947,0.8416814420803782,0.8014184397163121,0.8819444444444444,127,17,28,113,128,0.44912280701754387,0.9235668789808917,0.9022807017543859,10,2,157,0.921875,0.7421875,2.0,18.0,6.0,29.0
diff_ge_0.12,third,306,0.8202614379084967,0.753538763066202,0.6097560975609756,0.8973214285714286,201,23,32,50,77,0.25163398692810457,0.868995633187773,0.8026908233276158,17,13,229,0.7142857142857143,0.6753246753246753,12.0,15.0,9.0,12.0
diff_ge_0.12,external,108,0.6759259259259259,0.6667247994419254,0.5957446808510638,0.7377049180327869,45,16,19,28,34,0.3148148148148148,0.6621621621621622,0.6575091575091575,15,10,74,0.6176470588235294,0.7058823529411765,10.0,4.0,6.0,3.0
diff_ge_0.15,dev,591,0.8274111675126904,0.8092890914408266,0.7354260089686099,0.8831521739130435,325,43,59,164,132,0.2233502538071066,0.8758169934640523,0.8463869818371426,35,22,459,0.8712121212121212,0.6590909090909091,6.0,24.0,9.0,37.0
diff_ge_0.15,old,285,0.8456140350877193,0.8451536643026005,0.8014184397163121,0.8888888888888888,128,16,28,113,90,0.3157894736842105,0.9333333333333333,0.9251137102014295,10,3,195,0.9,0.6555555555555556,2.0,18.0,6.0,28.0
diff_ge_0.15,third,306,0.8104575163398693,0.7507077526132404,0.6219512195121951,0.8794642857142857,197,27,31,51,42,0.13725490196078433,0.8333333333333334,0.7652094855670885,25,19,264,0.8095238095238095,0.6666666666666666,4.0,6.0,3.0,9.0
diff_ge_0.15,external,108,0.6759259259259259,0.6667247994419254,0.5957446808510638,0.7377049180327869,45,16,19,28,28,0.25925925925925924,0.6375,0.6350844277673546,18,11,80,0.6785714285714286,0.7857142857142857,7.0,1.0,6.0,3.0
diff_ge_0.20,dev,591,0.8375634517766497,0.818324722168064,0.7399103139013453,0.8967391304347826,330,38,58,165,81,0.13705583756345177,0.8705882352941177,0.8466870785743774,39,27,510,0.9012345679012346,0.6296296296296297,2.0,19.0,7.0,29.0
diff_ge_0.20,old,285,0.8526315789473684,0.852024231678487,0.7943262411347518,0.9097222222222222,131,13,29,112,65,0.22807017543859648,0.9272727272727272,0.9208421052631579,12,4,220,0.9076923076923077,0.6,0.0,17.0,5.0,25.0
diff_ge_0.20,third,306,0.8235294117647058,0.7673671602787456,0.6463414634146342,0.8883928571428571,199,25,29,53,16,0.05228758169934641,0.8275862068965517,0.7706847143466862,27,23,290,0.875,0.75,2.0,2.0,2.0,4.0
diff_ge_0.20,external,108,0.6666666666666666,0.6560865015695849,0.574468085106383,0.7377049180327869,45,16,20,27,13,0.12037037037037036,0.6526315789473685,0.6392632524707997,20,13,95,0.6153846153846154,0.7692307692307693,5.0,0.0,5.0,3.0
diff_ge_0.25,dev,591,0.8527918781725888,0.8323198966660168,0.7488789237668162,0.9157608695652174,337,31,56,167,38,0.06429780033840947,0.8788426763110307,0.8601440576230492,40,27,553,0.8157894736842105,0.47368421052631576,1.0,16.0,6.0,19.0
diff_ge_0.25,old,285,0.8807017543859649,0.8799497635933806,0.8085106382978723,0.9513888888888888,137,7,27,114,33,0.11578947368421053,0.9365079365079365,0.9335699797160244,12,4,252,0.8181818181818182,0.45454545454545453,0.0,15.0,5.0,17.0
diff_ge_0.25,third,306,0.826797385620915,0.7695993031358885,0.6463414634146342,0.8928571428571429,200,24,29,53,5,0.016339869281045753,0.8305647840531561,0.7729638009049774,28,23,301,0.8,0.6,1.0,1.0,1.0,2.0
diff_ge_0.25,external,108,0.6666666666666666,0.65364492500872,0.5531914893617021,0.7540983606557377,46,15,21,26,6,0.05555555555555555,0.6666666666666666,0.6456444619629484,21,13,102,0.3333333333333333,0.6666666666666666,4.0,0.0,4.0,2.0
diff_ge_0.30,dev,591,0.8612521150592216,0.8417637453694677,0.7623318385650224,0.9211956521739131,339,29,53,170,19,0.032148900169204735,0.8776223776223776,0.8616071428571428,41,29,572,0.7894736842105263,0.3684210526315789,0.0,12.0,4.0,12.0
diff_ge_0.30,old,285,0.8947368421052632,0.8940602836879432,0.8297872340425532,0.9583333333333334,138,6,24,117,19,0.06666666666666667,0.9323308270676691,0.930952380952381,12,6,266,0.7894736842105263,0.3684210526315789,0.0,12.0,4.0,12.0
diff_ge_0.30,third,306,0.8300653594771242,0.7718314459930313,0.6463414634146342,0.8973214285714286,201,23,29,53,0,0.0,0.8300653594771242,0.7718314459930313,29,23,306,,,,,,
diff_ge_0.30,external,108,0.6574074074074074,0.6405650505755145,0.5106382978723404,0.7704918032786885,47,14,23,24,3,0.027777777777777776,0.6571428571428571,0.6361111111111111,23,13,105,0.3333333333333333,0.6666666666666666,2.0,0.0,2.0,1.0
